1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
cameron.graham@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,"Technical issues with tools/platforms, Lack of training on how to use AI tools",NLP-powered plagiarism detection system,Yes,Create Engineering fundamentals-specific model using Graph Neural Networks that enables resource recommendation
roger.smith@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,None,knowledge graphs-powered concept visualization system,No,Develop Time-series analysis to predict engagement levels in Engineering fundamentals for adaptive testing
jonathan31@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,reinforcement learning-powered automated grading system,Yes,Student training program on model interpretation
martinm@gmail.com,Postgraduate,Engineering,Somewhat familiar,"GitHub Copilot, ChatGPT","GitHub Copilot, ChatGPT",2,"Technical issues with tools/platforms, Integration with existing systems",AI teaching assistant that predicts learning styles,No,Random Forests-based system for early warning systems focusing on course difficulty in Programming
robert96@gmail.com,Undergraduate,Education,Somewhat familiar,IBM Watson,IBM Watson,2,"Lack of training on how to use AI tools, Cost of implementation",Automated programming problem generator,Yes,Develop LSTM networks to predict knowledge retention in Programming for curriculum optimization
james14@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",2,"Cost of implementation, Privacy concerns",knowledge graphs-powered writing assistance system,Maybe,Faculty training program on AI ethics
lucas72@gmail.com,Undergraduate,Business,Somewhat familiar,"Grammarly, Turnitin","Grammarly, Turnitin",3,None,AI teaching assistant that visualizes learning styles,No,Develop Random Forests to predict engagement levels in Mathematics for personalized learning paths
christine.gomez@gmail.com,Postgraduate,Business,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",2,"Lack of access to devices or internet, Technical issues with tools/platforms",computer vision-powered plagiarism detection system,Yes,Develop LSTM networks to predict learning gaps in Language learning for curriculum optimization
kevin.king@gmail.com,Other,Engineering,Very familiar,"Turnitin, Grammarly","Turnitin, Grammarly",3,"Lack of access to devices or internet, Technical issues with tools/platforms",reinforcement learning-powered automated grading system,Yes,Implement real-time engagement levels prediction in Language learning courses with Graph Neural Networks
emily.olson@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,predictive analytics-powered writing assistance system,Maybe,Develop Ensemble methods to predict skill mastery in Clinical skills for early warning systems
